trade_id,client_id,instrument,side,quantity,price,timestamp,order_type,venue,pnl
TRD000036,SUMMIT_ADVISORS_051,AUDUSD,SELL,3120203,0.70112,2025-09-04T16:37:32.524548,MARKET,Currenex,3151
TRD000037,ZEUS_COMM_019,AUDUSD,SELL,3282490,0.70103,2025-09-04T17:12:32.524548,LIMIT,EBS,-2082
TRD000038,HORIZON_GLOBAL_056,USDJPY,SELL,2288182,145.60021,2025-09-04T18:13:32.524548,LIMIT,EBS,3689
TRD000039,MERIDIAN_FUND_052,EURUSD,BUY,3918674,1.07806,2025-09-04T18:31:32.524548,MARKET,LMAX,6564
TRD000040,ZEUS_COMM_019,AUDUSD,SELL,2030027,0.70151,2025-09-04T18:32:32.524548,LIMIT,LMAX,2333
TRD000041,CORNERSTONE_INV_033,AUDUSD,SELL,3858344,0.70144,2025-09-04T19:16:32.524548,LIMIT,EBS,-2781
TRD000042,VANGUARD_MARKETS_078,GBPUSD,SELL,3519740,1.24209,2025-09-04T19:27:32.524548,MARKET,EBS,5293
TRD000043,ZEUS_COMM_019,AUDUSD,BUY,3645564,0.70162,2025-09-05T08:06:32.524548,LIMIT,EBS,-3750
TRD000044,MERIDIAN_FUND_052,USDJPY,SELL,3624907,145.58114,2025-09-05T08:55:32.524548,LIMIT,Hotspot,-1545
TRD000045,TITAN_EQ_008,AUDUSD,BUY,988632,0.7014,2025-09-05T08:58:32.524548,LIMIT,EBS,1527
TRD000046,TITAN_EQ_008,USDCHF,SELL,1573475,0.83545,2025-09-05T09:03:32.524548,LIMIT,LMAX,1368
TRD000047,VANGUARD_MARKETS_078,EURUSD,SELL,3183242,1.07793,2025-09-05T09:34:32.524548,LIMIT,EBS,-1981
TRD000048,ROCKFORD_TRUST_088,USDJPY,SELL,1393102,145.55612,2025-09-05T09:36:32.524548,MARKET,EBS,2671
TRD000049,OLYMPUS_VENTURES_024,SPX,BUY,1520413,5191.00627,2025-09-05T10:16:32.524548,LIMIT,LMAX,-2125
TRD000050,SUMMIT_ADVISORS_051,AUDUSD,SELL,3516562,0.7012,2025-09-05T12:35:32.524548,MARKET,Hotspot,-5112
TRD000051,SENTINEL_ASSETS_067,USDCHF,SELL,895146,0.83492,2025-09-05T12:46:32.524548,MARKET,EBS,940
TRD000052,ECLIPSE_PARTNERS_092,USDJPY,BUY,3798388,145.52015,2025-09-05T12:55:32.524548,MARKET,Hotspot,3268
TRD000053,CORNERSTONE_INV_033,AUDUSD,BUY,4690321,0.70146,2025-09-05T14:43:32.524548,MARKET,LMAX,-5430
TRD000054,VANGUARD_MARKETS_078,USDJPY,BUY,4942249,145.55522,2025-09-05T15:05:32.524548,LIMIT,Currenex,8271
TRD000055,QUANTUM_FINANCE_015,AUDUSD,SELL,1727338,0.70155,2025-09-05T15:32:32.524548,LIMIT,EBS,2069
TRD000056,NEXUS_CAPITAL_017,AUDUSD,BUY,3324390,0.70143,2025-09-05T15:51:32.524548,LIMIT,EBS,-1950
TRD000057,QUANTUM_FINANCE_015,USDCHF,SELL,2212035,0.83515,2025-09-05T16:48:32.524548,LIMIT,Hotspot,2173
TRD000058,NOVA_MACRO_045,AUDUSD,SELL,2398625,0.70151,2025-09-05T17:48:32.524548,MARKET,LMAX,-949
TRD000059,PHOENIX_CAPITAL_031,GBPUSD,BUY,2411412,1.24227,2025-09-05T18:25:32.524548,LIMIT,Hotspot,-1555
TRD000060,HORIZON_GLOBAL_056,EURUSD,BUY,3436811,1.07835,2025-09-05T18:50:32.524548,LIMIT,LMAX,6068
TRD000061,ACME_FX_023,EURUSD,BUY,4935680,1.0781,2025-09-05T19:34:32.524548,MARKET,LMAX,5551
TRD000062,TITAN_EQ_008,USDCHF,SELL,1121482,0.8351,2025-09-05T19:36:32.524548,LIMIT,Currenex,687
TRD000063,TITAN_EQ_008,USDCHF,BUY,1189470,0.83547,2025-09-06T08:01:32.524548,MARKET,LMAX,-766
TRD000064,TITAN_EQ_008,USDCHF,BUY,1664916,0.83522,2025-09-06T08:31:32.524548,MARKET,LMAX,2321
TRD000065,ACME_FX_023,EURUSD,BUY,4001060,1.07805,2025-09-06T11:12:32.524548,MARKET,EBS,7840
TRD000066,SUMMIT_ADVISORS_051,EURUSD,SELL,4856781,1.07844,2025-09-06T11:12:32.524548,MARKET,Hotspot,7287
TRD000067,ECLIPSE_PARTNERS_092,USDJPY,SELL,4311169,145.6252,2025-09-06T11:27:32.524548,LIMIT,Currenex,8302
TRD000068,SENTINEL_ASSETS_067,GBPUSD,SELL,1730408,1.24227,2025-09-06T11:36:32.524548,MARKET,Currenex,-632
TRD000069,SENTINEL_ASSETS_067,GBPUSD,SELL,1410729,1.24258,2025-09-06T11:56:32.524548,MARKET,Hotspot,2689
TRD000070,MERIDIAN_FUND_052,EURUSD,SELL,3783408,1.07827,2025-09-06T12:43:32.524548,MARKET,Hotspot,7534
TRD000071,QUANTUM_FINANCE_015,GBPUSD,BUY,1252083,1.24189,2025-09-06T13:31:32.524548,MARKET,Currenex,700
TRD000072,OLYMPUS_VENTURES_024,EURUSD,SELL,2396635,1.07848,2025-09-06T13:46:32.524548,MARKET,LMAX,-2431
TRD000073,PINNACLE_WEALTH_064,SPX,BUY,3797834,5191.38359,2025-09-06T14:03:32.524548,MARKET,EBS,-2420
TRD000074,PINNACLE_WEALTH_064,GBPUSD,BUY,3801169,1.24245,2025-09-06T14:43:32.524548,LIMIT,Hotspot,-3372
TRD000075,PINNACLE_WEALTH_064,GBPUSD,SELL,4095915,1.24244,2025-09-06T14:54:32.524548,MARKET,EBS,7345
TRD000076,VANGUARD_MARKETS_078,EURUSD,SELL,4987657,1.07821,2025-09-06T14:59:32.524548,LIMIT,EBS,2662
TRD000077,CORNERSTONE_INV_033,USDJPY,BUY,2307224,145.49317,2025-09-06T15:45:32.524548,LIMIT,LMAX,1711
TRD000078,ACME_FX_023,GBPUSD,SELL,3779390,1.24212,2025-09-06T15:54:32.524548,LIMIT,Hotspot,3992
TRD000079,OLYMPUS_VENTURES_024,GBPUSD,SELL,1794829,1.24219,2025-09-06T16:01:32.524548,LIMIT,EBS,-2251
TRD000080,SUMMIT_ADVISORS_051,GBPUSD,SELL,3407693,1.24209,2025-09-06T16:07:32.524548,LIMIT,LMAX,3350
TRD000081,QUANTUM_FINANCE_015,AUDUSD,SELL,850624,0.70118,2025-09-06T16:13:32.524548,LIMIT,Currenex,1461
TRD000082,SUMMIT_ADVISORS_051,EURUSD,SELL,4623526,1.07789,2025-09-06T16:37:32.524548,LIMIT,LMAX,3341
TRD000083,NOVA_MACRO_045,USDCHF,SELL,2966464,0.83542,2025-09-06T17:07:32.524548,MARKET,Hotspot,-2232
TRD000084,HORIZON_GLOBAL_056,USDJPY,BUY,1656901,145.53202,2025-09-06T17:50:32.524548,MARKET,Currenex,3102
TRD000085,QUANTUM_FINANCE_015,AUDUSD,BUY,2262933,0.70159,2025-09-06T18:59:32.524548,MARKET,Currenex,4288
TRD000086,OLYMPUS_VENTURES_024,SPX,BUY,1722760,5191.64813,2025-09-06T19:10:32.524548,LIMIT,Hotspot,1035
TRD000087,STERLING_FX_041,AUDUSD,SELL,2402989,0.7016,2025-09-06T19:38:32.524548,LIMIT,EBS,-2341
TRD000088,HORIZON_GLOBAL_056,GBPUSD,BUY,3676689,1.24201,2025-09-07T08:01:32.524548,LIMIT,Hotspot,-5209
TRD000089,ROCKFORD_TRUST_088,EURUSD,SELL,1087140,1.07826,2025-09-07T09:03:32.524548,LIMIT,EBS,-370
TRD000090,ECLIPSE_PARTNERS_092,USDJPY,SELL,4629984,145.55238,2025-09-07T09:04:32.524548,LIMIT,EBS,3494
TRD000091,ZEUS_COMM_019,OIL,SELL,2223462,82.88118,2025-09-07T09:15:32.524548,LIMIT,LMAX,-3009
TRD000092,TITAN_EQ_008,AUDUSD,BUY,1229215,0.70161,2025-09-07T09:19:32.524548,MARKET,Currenex,1421
TRD000093,PHOENIX_CAPITAL_031,SPX,BUY,5072985,5194.10326,2025-09-07T10:04:32.524548,MARKET,EBS,5252
TRD000094,ATLAS_BOND_012,EURUSD,BUY,3133450,1.07797,2025-09-07T11:06:32.524548,LIMIT,Currenex,4143
TRD000095,ZEUS_COMM_019,OIL,BUY,2402668,82.89341,2025-09-07T11:09:32.524548,MARKET,Hotspot,-1237
TRD000096,PINNACLE_WEALTH_064,EURUSD,BUY,5836289,1.0782,2025-09-07T12:14:32.524548,LIMIT,LMAX,8596
TRD000097,QUANTUM_FINANCE_015,GBPUSD,BUY,1772038,1.24205,2025-09-07T12:24:32.524548,LIMIT,Hotspot,-1064
TRD000098,APEX_TRADING_089,USDCHF,BUY,5526251,0.83524,2025-09-07T12:26:32.524548,LIMIT,Currenex,6611
TRD000099,MERIDIAN_FUND_052,USDJPY,SELL,4972361,145.57795,2025-09-07T12:55:32.524548,LIMIT,Hotspot,5239
TRD000100,NEXUS_CAPITAL_017,AUDUSD,BUY,2831805,0.70123,2025-09-07T14:06:32.524548,MARKET,LMAX,5518
TRD000101,TITAN_EQ_008,USDCHF,SELL,1793205,0.83521,2025-09-07T15:20:32.524548,LIMIT,LMAX,-780
TRD000102,ATLAS_BOND_012,USDCHF,SELL,4539657,0.83533,2025-09-07T15:22:32.524548,MARKET,EBS,-2973
TRD000103,MERIDIAN_FUND_052,AUDUSD,BUY,4519626,0.70164,2025-09-07T15:25:32.524548,LIMIT,EBS,8737
TRD000104,ATLAS_BOND_012,AUDUSD,BUY,5580293,0.70169,2025-09-07T17:32:32.524548,MARKET,Hotspot,4747
TRD000105,NEXUS_CAPITAL_017,AUDUSD,BUY,1684202,0.7014,2025-09-07T18:17:32.524548,LIMIT,Hotspot,-765
TRD000106,VANGUARD_MARKETS_078,GBPUSD,SELL,3249397,1.24227,2025-09-07T18:32:32.524548,MARKET,LMAX,-2157
TRD000107,SENTINEL_ASSETS_067,GBPUSD,SELL,1786100,1.243,2025-09-07T18:43:32.524548,MARKET,Currenex,-1739
TRD000108,TITAN_EQ_008,AUDUSD,SELL,1088721,0.70128,2025-09-08T08:14:32.524548,LIMIT,Currenex,663
TRD000109,PHOENIX_CAPITAL_031,GBPUSD,BUY,3969645,1.24252,2025-09-08T08:19:32.524548,MARKET,Currenex,-2138
TRD000110,ROCKFORD_TRUST_088,USDJPY,BUY,1545372,145.54743,2025-09-08T08:28:32.524548,LIMIT,Hotspot,2858
TRD000111,CORNERSTONE_INV_033,USDCHF,SELL,4955173,0.83533,2025-09-08T09:16:32.524548,MARKET,Hotspot,-4646
TRD000112,NEXUS_CAPITAL_017,GBPUSD,SELL,3214944,1.24189,2025-09-08T09:47:32.524548,LIMIT,Hotspot,-2754
TRD000113,SENTINEL_ASSETS_067,GBPUSD,SELL,905011,1.24222,2025-09-08T09:55:32.524548,LIMIT,Hotspot,-1274
TRD000114,NOVA_MACRO_045,AUDUSD,SELL,2755919,0.70156,2025-09-08T09:56:32.524548,MARKET,EBS,2410
TRD000115,STERLING_FX_041,USDCHF,BUY,2202014,0.83523,2025-09-08T10:09:32.524548,LIMIT,Hotspot,1833
TRD000116,CORNERSTONE_INV_033,USDCHF,BUY,4640483,0.83524,2025-09-08T10:36:32.524548,MARKET,LMAX,8196
TRD000117,ZEUS_COMM_019,GOLD,BUY,1868347,1837.81821,2025-09-08T10:36:32.524548,MARKET,LMAX,2255
TRD000118,SUMMIT_ADVISORS_051,AUDUSD,BUY,3630484,0.70154,2025-09-08T10:47:32.524548,MARKET,EBS,4177
TRD000119,QUANTUM_FINANCE_015,USDCHF,SELL,881667,0.8353,2025-09-08T10:57:32.524548,MARKET,LMAX,-1253
TRD000120,OLYMPUS_VENTURES_024,GBPUSD,SELL,2404050,1.2417,2025-09-08T11:13:32.524548,LIMIT,LMAX,2913
TRD000121,ROCKFORD_TRUST_088,GBPUSD,SELL,951412,1.24227,2025-09-08T11:15:32.524548,MARKET,EBS,-584
TRD000122,TITAN_EQ_008,AUDUSD,BUY,1830676,0.70155,2025-09-08T11:37:32.524548,MARKET,Hotspot,3120
TRD000123,CORNERSTONE_INV_033,USDJPY,BUY,3108794,145.57217,2025-09-08T11:48:32.524548,MARKET,EBS,4491
TRD000124,NEXUS_CAPITAL_017,USDJPY,BUY,1607102,145.56253,2025-09-08T12:59:32.524548,MARKET,Hotspot,1870
TRD000125,TITAN_EQ_008,USDJPY,BUY,1516491,145.59717,2025-09-08T13:32:32.524548,MARKET,EBS,1843
TRD000126,ACME_FX_023,EURUSD,SELL,5144394,1.07843,2025-09-08T13:50:32.524548,MARKET,Currenex,4504
TRD000127,PHOENIX_CAPITAL_031,EURUSD,SELL,5726208,1.0783,2025-09-08T14:23:32.524548,LIMIT,EBS,-6822
TRD000128,APEX_TRADING_089,USDCHF,BUY,2473486,0.83538,2025-09-08T14:28:32.524548,LIMIT,EBS,1483
TRD000129,SUMMIT_ADVISORS_051,AUDUSD,BUY,3948697,0.70135,2025-09-08T14:30:32.524548,LIMIT,Currenex,-1881
TRD000130,NOVA_MACRO_045,AUDUSD,SELL,2176708,0.70153,2025-09-08T14:32:32.524548,MARKET,EBS,1271
TRD000131,PINNACLE_WEALTH_064,GBPUSD,SELL,3501233,1.24205,2025-09-08T15:23:32.524548,MARKET,Currenex,-3882
TRD000132,MERIDIAN_FUND_052,EURUSD,SELL,3198148,1.07808,2025-09-08T16:06:32.524548,LIMIT,Hotspot,5568
TRD000133,NEXUS_CAPITAL_017,USDJPY,BUY,2586554,145.60759,2025-09-08T16:45:32.524548,MARKET,Hotspot,-1222
TRD000134,ECLIPSE_PARTNERS_092,AUDUSD,BUY,3826593,0.70146,2025-09-08T17:47:32.524548,MARKET,LMAX,2984
TRD000135,PHOENIX_CAPITAL_031,GBPUSD,BUY,2136249,1.24245,2025-09-08T18:24:32.524548,MARKET,Hotspot,1138
TRD000136,QUANTUM_FINANCE_015,GBPUSD,SELL,1508010,1.24232,2025-09-08T18:36:32.524548,LIMIT,Hotspot,-777
TRD000137,CORNERSTONE_INV_033,USDCHF,SELL,3889553,0.83552,2025-09-08T18:53:32.524548,MARKET,Currenex,2134
TRD000138,NEXUS_CAPITAL_017,USDJPY,BUY,3423983,145.50886,2025-09-09T09:19:32.524548,LIMIT,LMAX,3543
TRD000139,ZEUS_COMM_019,AUDUSD,BUY,3319578,0.70147,2025-09-09T09:32:32.524548,LIMIT,EBS,-2657
TRD000140,ROCKFORD_TRUST_088,USDJPY,BUY,808408,145.59539,2025-09-09T10:04:32.524548,LIMIT,LMAX,1299
TRD000141,PHOENIX_CAPITAL_031,EURUSD,BUY,2684355,1.07827,2025-09-09T10:10:32.524548,LIMIT,Currenex,3708
TRD000142,VANGUARD_MARKETS_078,EURUSD,SELL,3348888,1.07823,2025-09-09T10:22:32.524548,MARKET,Hotspot,4043
TRD000143,QUANTUM_FINANCE_015,AUDUSD,BUY,993728,0.70135,2025-09-09T11:05:32.524548,MARKET,Hotspot,839
TRD000144,MERIDIAN_FUND_052,USDJPY,BUY,3075208,145.57497,2025-09-09T11:09:32.524548,MARKET,Currenex,3523
TRD000145,HORIZON_GLOBAL_056,GBPUSD,SELL,3273856,1.24253,2025-09-09T11:55:32.524548,MARKET,LMAX,3887
TRD000146,ROCKFORD_TRUST_088,EURUSD,SELL,928774,1.07812,2025-09-09T12:00:32.524548,MARKET,Currenex,-1290
TRD000147,APEX_TRADING_089,AUDUSD,BUY,2331748,0.7015,2025-09-09T12:24:32.524548,MARKET,EBS,-3240
TRD000148,ACME_FX_023,GBPUSD,SELL,2548140,1.24186,2025-09-09T12:55:32.524548,MARKET,LMAX,4004
TRD000149,PINNACLE_WEALTH_064,GBPUSD,BUY,6029286,1.24237,2025-09-09T13:00:32.524548,MARKET,EBS,9799
TRD000150,HORIZON_GLOBAL_056,USDJPY,BUY,2995894,145.59183,2025-09-09T13:05:32.524548,LIMIT,EBS,-3512
TRD000151,PHOENIX_CAPITAL_031,SPX,BUY,3721389,5190.99098,2025-09-09T13:15:32.524548,MARKET,EBS,4756
TRD000152,QUANTUM_FINANCE_015,USDCHF,SELL,1708868,0.83522,2025-09-09T13:29:32.524548,LIMIT,Hotspot,1184
TRD000153,APEX_TRADING_089,AUDUSD,SELL,6399515,0.70147,2025-09-09T13:41:32.524548,LIMIT,Currenex,4546
TRD000154,ROCKFORD_TRUST_088,USDJPY,BUY,1970761,145.54918,2025-09-09T14:13:32.524548,LIMIT,LMAX,2118
TRD000155,PINNACLE_WEALTH_064,EURUSD,BUY,3395347,1.07805,2025-09-09T14:28:32.524548,LIMIT,Currenex,-3287
TRD000156,ROCKFORD_TRUST_088,GBPUSD,BUY,1065136,1.24222,2025-09-09T16:11:32.524548,MARKET,LMAX,2116
TRD000157,MERIDIAN_FUND_052,AUDUSD,SELL,4559861,0.70147,2025-09-09T18:18:32.524548,LIMIT,LMAX,8172
TRD000158,PHOENIX_CAPITAL_031,GBPUSD,BUY,2860585,1.24225,2025-09-09T18:30:32.524548,MARKET,Hotspot,-4018
TRD000159,ATLAS_BOND_012,EURUSD,BUY,6157640,1.07834,2025-09-09T18:46:32.524548,MARKET,EBS,6244
TRD000160,APEX_TRADING_089,AUDUSD,SELL,3953174,0.70182,2025-09-09T18:57:32.524548,LIMIT,Hotspot,5703
TRD000161,CORNERSTONE_INV_033,USDJPY,SELL,2518395,145.58425,2025-09-09T19:07:32.524548,LIMIT,EBS,1492
TRD000162,PINNACLE_WEALTH_064,GBPUSD,SELL,2169725,1.24171,2025-09-09T19:30:32.524548,LIMIT,Hotspot,4048
TRD000163,SUMMIT_ADVISORS_051,EURUSD,BUY,4454089,1.0783,2025-09-10T08:24:32.524548,MARKET,LMAX,3250
TRD000164,NOVA_MACRO_045,AUDUSD,BUY,1587785,0.70137,2025-09-10T12:48:32.524548,MARKET,Currenex,945
TRD000165,SENTINEL_ASSETS_067,GBPUSD,SELL,883689,1.24209,2025-09-10T12:51:32.524548,LIMIT,Currenex,1228
TRD000166,OLYMPUS_VENTURES_024,EURUSD,SELL,2746420,1.07801,2025-09-10T12:53:32.524548,LIMIT,Currenex,1775
TRD000167,SUMMIT_ADVISORS_051,AUDUSD,SELL,3259654,0.70163,2025-09-10T13:16:32.524548,MARKET,Currenex,3498
TRD000168,NOVA_MACRO_045,AUDUSD,BUY,2361638,0.70152,2025-09-10T13:33:32.524548,MARKET,EBS,2018
TRD000169,ECLIPSE_PARTNERS_092,AUDUSD,SELL,3541565,0.70172,2025-09-10T14:24:32.524548,LIMIT,EBS,-3433
TRD000170,QUANTUM_FINANCE_015,USDCHF,BUY,1792318,0.8352,2025-09-10T14:25:32.524548,LIMIT,Hotspot,-1958
TRD000171,ACME_FX_023,GBPUSD,BUY,2916615,1.24207,2025-09-10T14:46:32.524548,MARKET,Currenex,2290
TRD000172,NEXUS_CAPITAL_017,GBPUSD,BUY,2917123,1.24226,2025-09-10T15:16:32.524548,MARKET,Hotspot,-1049
TRD000173,SENTINEL_ASSETS_067,USDCHF,SELL,1337022,0.83538,2025-09-10T15:36:32.524548,MARKET,EBS,-647
TRD000174,MERIDIAN_FUND_052,AUDUSD,BUY,4160261,0.70154,2025-09-10T16:01:32.524548,LIMIT,Currenex,3133
TRD000175,ACME_FX_023,EURUSD,BUY,2570097,1.0783,2025-09-10T16:05:32.524548,MARKET,Currenex,-3150
TRD000176,NEXUS_CAPITAL_017,GBPUSD,BUY,3812940,1.24236,2025-09-10T17:05:32.524548,MARKET,Currenex,6116
TRD000177,ATLAS_BOND_012,AUDUSD,BUY,3295229,0.70128,2025-09-10T17:17:32.524548,MARKET,EBS,-1187
TRD000178,NEXUS_CAPITAL_017,AUDUSD,SELL,2969905,0.70129,2025-09-10T17:29:32.524548,MARKET,Hotspot,-3201
TRD000179,ACME_FX_023,USDJPY,BUY,4630707,145.53776,2025-09-10T17:47:32.524548,LIMIT,EBS,6240
TRD000180,QUANTUM_FINANCE_015,GBPUSD,SELL,1741453,1.2423,2025-09-10T17:56:32.524548,MARKET,Hotspot,2494
TRD000181,ECLIPSE_PARTNERS_092,EURUSD,BUY,3068015,1.07817,2025-09-10T18:22:32.524548,LIMIT,Hotspot,-2969
TRD000182,ECLIPSE_PARTNERS_092,USDJPY,BUY,3108254,145.57919,2025-09-10T18:30:32.524548,LIMIT,LMAX,-2477
TRD000183,TITAN_EQ_008,AUDUSD,BUY,970195,0.70138,2025-09-10T19:08:32.524548,MARKET,LMAX,654
TRD000184,TITAN_EQ_008,AUDUSD,BUY,1857235,0.70123,2025-09-10T19:56:32.524548,LIMIT,Currenex,1894
TRD000185,OLYMPUS_VENTURES_024,GBPUSD,BUY,1652843,1.24218,2025-09-11T08:39:32.524548,LIMIT,LMAX,2614
TRD000186,ACME_FX_023,GBPUSD,SELL,3996527,1.24184,2025-09-11T08:55:32.524548,LIMIT,EBS,4617
TRD000187,TITAN_EQ_008,AUDUSD,SELL,1142636,0.70156,2025-09-11T09:08:32.524548,MARKET,LMAX,-1066
TRD000188,QUANTUM_FINANCE_015,AUDUSD,BUY,1641643,0.70123,2025-09-11T09:16:32.524548,MARKET,EBS,1971
TRD000189,QUANTUM_FINANCE_015,USDCHF,SELL,2509635,0.83503,2025-09-11T10:09:32.524548,MARKET,Currenex,-2340
TRD000190,SENTINEL_ASSETS_067,GBPUSD,SELL,1277282,1.24198,2025-09-11T10:33:32.524548,LIMIT,Currenex,2168
TRD000191,VANGUARD_MARKETS_078,EURUSD,BUY,4547548,1.07815,2025-09-11T11:27:32.524548,LIMIT,LMAX,-5716
TRD000192,QUANTUM_FINANCE_015,USDCHF,SELL,1753702,0.83529,2025-09-11T11:51:32.524548,LIMIT,Currenex,-1214
TRD000193,ACME_FX_023,USDJPY,SELL,4639709,145.54129,2025-09-11T11:58:32.524548,LIMIT,Currenex,3254
TRD000194,APEX_TRADING_089,AUDUSD,BUY,4877946,0.70141,2025-09-11T12:02:32.524548,MARKET,EBS,-5604
TRD000195,QUANTUM_FINANCE_015,AUDUSD,SELL,1067223,0.70119,2025-09-11T12:06:32.524548,LIMIT,EBS,-823
TRD000196,ATLAS_BOND_012,EURUSD,BUY,3158357,1.07825,2025-09-11T12:14:32.524548,LIMIT,Hotspot,-2437
TRD000197,ACME_FX_023,USDJPY,SELL,3847317,145.58274,2025-09-11T13:01:32.524548,MARKET,EBS,3060
TRD000198,NOVA_MACRO_045,USDCHF,SELL,2517526,0.83537,2025-09-11T13:01:32.524548,MARKET,LMAX,-2986
TRD000199,PINNACLE_WEALTH_064,EURUSD,BUY,4322679,1.07835,2025-09-11T13:17:32.524548,LIMIT,EBS,8185
TRD000200,STERLING_FX_041,EURUSD,BUY,1064719,1.07793,2025-09-11T13:27:32.524548,LIMIT,LMAX,1849
TRD000201,ZEUS_COMM_019,AUDUSD,SELL,3613381,0.70155,2025-09-11T15:26:32.524548,MARKET,Hotspot,-3271
